loss,precision,hr,F1 Score,diversity,curr_epoch
9.099585144969087,0.06238547392970143,0.010449007702263487,0.0178999364859823,0.0034696667017138053,0
9.103932108478364,0.06679993336664969,0.011354615804389304,0.019409940615924597,0.0058879192513931235,1
9.186917555033306,0.06480093286689963,0.010234242783107505,0.017676735578658925,0.0071496162338345074,2
9.311297975351824,0.06517574546060272,0.01090689067876644,0.01868664827395651,0.007359899064241404,3
9.310437899846802,0.06904880892886879,0.011927351120246912,0.02034103341106632,0.007570181894648302,4
9.280206532734613,0.07038147592870213,0.011215424349394902,0.01934774767636617,0.008621596046682788,5
9.259334700798762,0.06638347492920181,0.01090698519748977,0.018735651909017305,0.007990747555462096,6
9.20951210825805,0.07113110111610853,0.011712852900565347,0.020113673566583563,0.01082956576595521,7
9.187122746466118,0.06788272530401451,0.011872706541384353,0.020210577715289897,0.010619282935548313,8
9.149539494845772,0.06829918374146239,0.011512839694777021,0.01970423802944313,0.00998843444432762,9
9.157434451984102,0.06542562052307148,0.010797037730119554,0.018535246854225626,0.010619282935548313,10
9.150755233672093,0.0701732467099781,0.011735110003147278,0.020107613007150606,0.009778151613920724,11
9.173267954439375,0.06471764117940987,0.01034617064702903,0.01784028130795055,0.008411313216275891,12
9.143720523074009,0.06396801599200364,0.010704169717032877,0.01833947923550382,0.011880979917989696,13
9.109652616374502,0.06863235049142068,0.010849609387798113,0.01873718754117081,0.012932394070024182,14
9.113303098369368,0.06367649508579004,0.010405960361219728,0.017888583195736378,0.01072442435075176,15
9.13347315514809,0.0641762452107276,0.009870654809912699,0.017109738916681997,0.011039848596362107,16
9.15080224523719,0.06821589205397274,0.010798327581357431,0.018645189487486787,0.01156555567237935,17
