loss,precision,hr,F1 Score,diversity,CC,curr_epoch
9.716131714113663,0.15948100672190338,0.020112630715063126,0.03572044800740711,0.021383395241441623,0.4643624067202454,0
8.53223771528378,0.18521181803971037,0.024714500420420043,0.04360975401641728,0.022387310510992874,0.49558592432307685,1
8.475179191402374,0.23598561825856562,0.035692751221216346,0.06200696787467095,0.02258809356490312,0.46089861201384874,2
8.442828851785528,0.2359543536032586,0.035272486798388326,0.061370746421471445,0.02519827326573637,0.4395316883736553,3
8.413697353615179,0.24636548382054654,0.03549770345175322,0.06205428222140114,0.03403272763778737,0.43539323531589125,4
8.386036634108766,0.26005940284509077,0.039048108774082574,0.0679008547464852,0.03965465314727437,0.4191767522605172,5
8.365304454551326,0.2586212287009602,0.03685830127339389,0.06452114746481859,0.04286718200983837,0.43186362028252956,6
8.34856181536029,0.2546193528216413,0.03593089940695942,0.06297500885389999,0.04828832446541512,0.41852677653175535,7
8.332222711043954,0.2615288416445278,0.03721858161461897,0.06516362505245876,0.056821604256600745,0.4073537760298782,8
8.316308246453898,0.2724714710020387,0.04053818417483072,0.0705760892112182,0.056118863567914866,0.40043441415794634,9
8.301998262302698,0.26718774425512587,0.039241632945280956,0.068432625378996,0.06314627045477361,0.4089581464995844,10
8.28989725548496,0.27140847272159374,0.040703024073241584,0.07078973836154802,0.06475253488605562,0.4002451807179289,11
8.279371094269864,0.2744411442863898,0.040535877508041086,0.07063824874958813,0.07077602650336312,0.39715162535069426,12
8.27055386586832,0.27140847272159474,0.03952877422396968,0.06900713469404696,0.07268346551551048,0.41217511497987785,13
8.262259373627673,0.28122557448804736,0.042933349071023884,0.07449405140311888,0.07027406886858749,0.40806957208559247,14
8.25482262180412,0.27193997186181623,0.03993442700453981,0.06964192633577417,0.07961048087541411,0.40117489283627406,15
8.248047253140896,0.2655307175238453,0.03782213934880555,0.0662129238083377,0.07167955024595925,0.4205178414223693,16
8.241825132054819,0.2770048460215786,0.040287418078760004,0.0703440411518181,0.08412809958839473,0.39330113622338914,17
8.236133120877124,0.27028294513053586,0.03849097950323857,0.06738558194921138,0.07880734865977311,0.40638292620717914,18
8.231052377008835,0.27975613568860996,0.04094276456199904,0.0714314242382667,0.08141752836060637,0.4079543865134094,19
