"Slate Size",Algorithm,Seed,"Precision (%)","Recall (%)",Diversity,CC
3,Random,0,0.007453739900964303,0.00031162804302827424,0.8588495131010943,0.27883626188222055
4,Random,0,0.007505863956215794,0.00038243688420607283,0.9264130107418934,0.33825768486893215
5,Random,0,0.007255668491008617,0.0004549722076171656,0.9599437807449052,0.3874161557137509
6,Random,0,0.0076101120667187725,0.0005580005982147416,0.9785162132316032,0.43019628821858524
7,Random,0,0.007550541717859968,0.0006505512991466454,0.9896596727236221,0.46850746882843974
8,Random,0,0.007505863956215794,0.000710925915151692,0.9945788575444232,0.5026295214188732
9,Random,0,0.0077491095473895,0.0009795652213933064,0.9972894287722116,0.5317805851611104
10,Random,0,0.008491008600469183,0.0011281637515944073,0.9985945186226283,0.5585037652771594
3,Random,54425,0.006932499348449316,0.00021343080013596076,0.8550346350767996,0.27933829883543243
4,Random,54425,0.0071540265832681785,0.0004897357553940166,0.9213934343941371,0.3384798979465854
5,Random,54425,0.007943706020328407,0.000516750942739805,0.9588394739483987,0.3887000534957368
6,Random,54425,0.007688298149596022,0.0004630080134062525,0.9796205200281096,0.43141434508867393
7,Random,54425,0.007193119624706823,0.0007317537168793721,0.9898604557775323,0.4691987984033532
8,Random,54425,0.006880375293197811,0.000599459472078989,0.995181206706154,0.5022015554915438
9,Random,54425,0.007453739900964337,0.0007949553956113915,0.9976909948800321,0.5325542158758959
10,Random,54425,0.007630961688819442,0.0009127103505507309,0.9987953016765385,0.5593432369038407
3,Random,954358,0.007714360177221798,0.00027936890572040005,0.8519224977411907,0.2787375005143757
4,Random,954358,0.008287724784988272,0.0004455830015567502,0.9227989157715089,0.3370313978848574
5,Random,954358,0.007974980453479307,0.0006347223754723175,0.9585382993675334,0.3884531500761218
6,Random,954358,0.007688298149596019,0.0006080900907334426,0.9782150386507379,0.432426649109084
7,Random,954358,0.007840947168546893,0.0005725376998094716,0.9883545828732055,0.4701617217398418
8,Random,954358,0.007838154808444096,0.0009002509426413941,0.9936753338018272,0.5022180157195167
9,Random,954358,0.007540613326383506,0.000840425236958785,0.9965866880835258,0.5317888152750964
10,Random,954358,0.007771696637998493,0.000883636674881642,0.9981929525148078,0.560618904571838
3,Pop-K,0,0.05806619755016913,0.005983547784456303,0.000301174580865375,0.31578947368417637
4,Pop-K,0,0.05633307271305708,0.007299155398076758,0.00040156610782049993,0.3684210526316278
5,Pop-K,0,0.05576231430805224,0.008526132172757406,0.0005019576347756249,0.47368421052627463
6,Pop-K,0,0.055512118842846216,0.00940564316581583,0.00060234916173075,0.5263157894737284
7,Pop-K,0,0.054551546967497457,0.010707242775180788,0.0007027406886858749,0.5263157894737284
8,Pop-K,0,0.05279515246286161,0.01152150768029936,0.0008031322156409999,0.5263157894737284
9,Pop-K,0,0.05165493875423473,0.012583572191016508,0.0009035237425961249,0.5263157894737284
10,Pop-K,0,0.050930414386239325,0.013292600837239014,0.0010039152695512498,0.5263157894737284
3,Pop-K,54425,0.0580661975501691,0.005983547784456301,0.000301174580865375,0.31578947368417637
4,Pop-K,54425,0.05629397967161845,0.007289957035385315,0.00040156610782049993,0.3684210526316278
5,Pop-K,54425,0.055762314308052265,0.008526132172757417,0.0005019576347756249,0.47368421052627463
6,Pop-K,54425,0.05548605681522047,0.009411988200479476,0.00060234916173075,0.5263157894737284
7,Pop-K,54425,0.054551546967497234,0.010707242775180783,0.0007027406886858749,0.5263157894737284
8,Pop-K,54425,0.05275605942142299,0.011517164009028375,0.0008031322156409999,0.5263157894737284
9,Pop-K,54425,0.05162018938406712,0.012582413878677607,0.0009035237425961249,0.5263157894737284
10,Pop-K,54425,0.050992963252541115,0.013289274673937597,0.0010039152695512498,0.5263157894737284
3,Pop-K,954358,0.05806619755016907,0.005983547784456298,0.000301174580865375,0.31578947368417637
4,Pop-K,954358,0.05633307271305708,0.00729915539807676,0.00040156610782049993,0.3684210526316278
5,Pop-K,954358,0.05576231430805224,0.00852613217275742,0.0005019576347756249,0.47368421052627463
6,Pop-K,954358,0.05553818087047195,0.009412750991531946,0.00060234916173075,0.5263157894737284
7,Pop-K,954358,0.054551546967497415,0.010707242775180792,0.0007027406886858749,0.5263157894737284
8,Pop-K,954358,0.05279515246286161,0.011521507680299343,0.0008031322156409999,0.5263157894737284
9,Pop-K,954358,0.05165493875423489,0.012583572191016515,0.0009035237425961249,0.5263157894737284
10,Pop-K,954358,0.050961688819390207,0.013282955038764633,0.0010039152695512498,0.5263157894737284
3,BPR,0,0.2027512897,0.01363647832,0.10049191848208011,0.35362793414676025
4,BPR,0,0.19458339846803188,0.017497001949789735,0.11364320851320149,0.40508297474967125
5,BPR,0,0.1906518680631583,0.02148951873180236,0.12368236120871398,0.4473972174456722
6,BPR,0,0.18573810640404276,0.024534285593325746,0.1338219054311816,0.48233135598100874
7,BPR,0,0.18082136715871147,0.027493949797229213,0.14275675133018773,0.5128226224463778
8,BPR,0,0.17772002501172424,0.03091265018906502,0.15118963959441822,0.5387476037287277
9,BPR,0,0.1746478383964656,0.03404647832554113,0.15861861258909749,0.5620068617690975
10,BPR,0,0.1712208847897472,0.03718871229092849,0.16604758558377672,0.580946660852555
3,BPR,54425,0.20051065603668372,0.0135224219417489,0.09888565405079812,0.35359502398327863
4,BPR,54425,0.19501328747850555,0.017052050787350535,0.1133420339323361,0.40537093868013147
