dataset,seed,Precision,HR,F1,diversity,CC,Genres
future,54425,0.12196342035329201,0.011642422020456428,0.021255801177304644,0.01746812569019175,0.6665542236081402,18
future,954358,0.09516961075504085,0.01047354428267723,0.018870377967265334,0.037144864973396245,0.10463786478858471,0
future,954358,0.11852430826950215,0.014626266050848293,0.026039212749794986,0.04116052605160125,0.1169133557670837,1
future,954358,0.1523839299671747,0.01970356245797166,0.03489511340291531,0.046983234614998495,0.14037830232920404,2
future,954358,0.1802720025011772,0.024259311147373865,0.042763863604287744,0.05441220760967774,0.17029364093365043,3
future,954358,0.20050023448491963,0.027971036952441287,0.049093257392655666,0.06445136030519025,0.206272677159514,4
future,954358,0.2190401750820758,0.030477629668000373,0.05350981141608036,0.07278385704246562,0.2495577696782124,5
future,954358,0.24080037517586955,0.03374342782156398,0.05919223082393478,0.07730147575544624,0.30605629283463254,6
future,954358,0.25602626231046466,0.036084538007745345,0.06325400761121405,0.07669912659371549,0.3633446599145969,7
future,954358,0.2590901985305672,0.036301624524022934,0.06368080881624837,0.07097680955727337,0.4209456735476261,8
future,954358,0.2509613881507011,0.03368768552831732,0.05940162189534622,0.05832747716092762,0.477534699653612,9
future,954358,0.23113959668595158,0.029033193987483545,0.051586645409013074,0.045778536291537,0.5263898373415179,10
future,954358,0.2006252931061481,0.023631957458322955,0.04228330080578635,0.03573938359602449,0.5719621862221741,11
future,954358,0.1719868688447744,0.018173398869177952,0.032873175930512755,0.02780845296656962,0.6049217149486495,12
future,954358,0.15194622479287415,0.015369256128657537,0.02791493571021651,0.02339122578054412,0.6146631233390992,13
future,954358,0.13894012818508872,0.012927874672758443,0.023654759796573024,0.020178696917980122,0.6192129534403796,14
future,954358,0.12946693762701428,0.011968146515705944,0.021910819198103792,0.018773215540608373,0.622545107492854,15
future,954358,0.12265124277004988,0.01120896219819317,0.020540729697777736,0.017166951109326374,0.6280904700394411,16
future,954358,0.11674222291699349,0.01019478425279265,0.018752006248867345,0.016564601947595622,0.6436076121208437,17
future,954358,0.10939502891980724,0.009434086915143724,0.017370190860421606,0.016363818893685374,0.6724369153304077,18
diverse,0,0.08006878224167405,0.010054032810127345,0.017864825089230093,0.015259512097178999,0.24597878939962445,0
diverse,0,0.08832265124276913,0.010801402601553416,0.019248779239962117,0.018371649432787872,0.24945903918776452,1
diverse,0,0.0985461935282163,0.012108607875077166,0.02156720178215643,0.02188535287621725,0.2579909990702749,2
diverse,0,0.10648741597623948,0.01307878584309062,0.02329631764404149,0.025097881738781247,0.27696370831721046,3
diverse,0,0.11689854619352955,0.014782292669423134,0.02624570951072518,0.026704146170063246,0.31275351110306326,4
diverse,0,0.1269032358918262,0.016243226660522296,0.02880012523943216,0.030117458086537496,0.35703413606707013,5
diverse,0,0.13381272471471214,0.016996620178528855,0.03016211042677815,0.03644212428471037,0.39505360242876386,6
diverse,0,0.13750195404095894,0.017694290405275773,0.03135384512395833,0.04025700230900512,0.4263511678994155,7
diverse,0,0.13909645146162475,0.01712692785018565,0.03049857068634025,0.04527657865676137,0.45473618390198234,8
diverse,0,0.13490698765046297,0.01678450648671766,0.029854636506843234,0.04678245156108824,0.49007347193996653,9
diverse,0,0.13184305143035965,0.016491859258614374,0.029316592275096438,0.04587892781849212,0.5342965041178899,10
diverse,0,0.1291230264186352,0.016372660803089058,0.029060483561947986,0.04266639895592812,0.5809795710160339,11
diverse,0,0.12240112552759266,0.015669211432139167,0.027781914025211938,0.039152695512498746,0.6177237685428422,12
diverse,0,0.117179928091294,0.01462616752620143,0.02600628219722499,0.03523742596124887,0.6563603004698136,13
diverse,0,0.11445990307956966,0.013952576679124858,0.024873136589277103,0.030719807248268245,0.6868762495577975,14
diverse,0,0.10995779271533597,0.012049131462033284,0.021718372274937496,0.02620218853528762,0.7105057469373267,15
diverse,0,0.10398624355166519,0.011360288701304299,0.02048286540804346,0.022989659672723622,0.7349826810264882,16
diverse,0,0.08876035641706972,0.00896165269365222,0.016279638423588025,0.017568517217146872,0.7619690150810944,17
diverse,0,0.07253400031264498,0.006966738708648025,0.012712471201955703,0.015460295151089248,0.8062167298815989,18
diverse,54425,0.09423167109582577,0.013387477798366215,0.023444236786124537,0.015058729043268748,0.298700871296572,0
diverse,54425,0.09767078317961536,0.01394471956182725,0.02440506286978476,0.01817086637887762,0.3044190122014379,1
diverse,54425,0.10126621853994083,0.014375806053456997,0.025177413187217643,0.019877522337114747,0.31592111433813186,2
diverse,54425,0.10611224011255353,0.014690716864982212,0.02580838937067435,0.022286918984037746,0.33416157244760986,3
diverse,54425,0.11220884789745308,0.015465361514802864,0.02718403984457422,0.025097881738781247,0.358070806216727,4
diverse,54425,0.11846177895888843,0.016463444942162623,0.028909182719912548,0.02720610380483887,0.381963584904104,5
diverse,54425,0.12383929967172272,0.017104733693424003,0.03005786326799919,0.031522939463909244,0.4058152258871265,6
diverse,54425,0.13015476004377258,0.01747591104109374,0.030814369282279028,0.03543820901515912,0.42959281900231844,7
diverse,54425,0.1331561669532614,0.01761298674871857,0.03111084391564309,0.03784760566208212,0.45670256616998806,8
diverse,54425,0.1341253712677837,0.017551917450174065,0.03104166041421821,0.04045778536291537,0.49505113416650753,9
diverse,54425,0.1323432859152751,0.01679447017330313,0.029806474580734793,0.041762875213331996,0.5367894490015968,10
diverse,54425,0.12868532124433518,0.016213561461816402,0.028798667405322064,0.03965465314727437,0.5759031782990559,11
diverse,54425,0.1259340315773035,0.015729306594696933,0.02796566873188599,0.03794799718903725,0.6113803345318312,12
diverse,54425,0.12208847897452067,0.014532422566232685,0.025973205372197043,0.03483585985342837,0.6509218959545383,13
diverse,54425,0.11749257464436594,0.013629301584456641,0.02442524130706952,0.02981628350567212,0.6830998082983255,14
diverse,54425,0.11064561513209391,0.012727856398739681,0.022829567541180047,0.026503363116152995,0.7111474951252096,15
diverse,54425,0.10251680475222805,0.010604626543443869,0.019220980788034372,0.022286918984037746,0.7421159589610448,16
diverse,54425,0.08901047365952695,0.008856753599397891,0.01611047651084311,0.017568517217146872,0.7665764379684662,17
diverse,54425,0.07037673909644997,0.007207088171116576,0.013075182850016957,0.014556771408493123,0.7916786651637628,18
diverse,954358,0.09867125214944489,0.013568976042311663,0.023857183436821337,0.017066559582371247,0.2787079469817199,0
diverse,954358,0.10429889010473703,0.014095723550070582,0.024835054165251155,0.01917478164842887,0.2987666916235356,1
diverse,954358,0.11102079099578029,0.01520431634634669,0.026745791908835588,0.021684569822306998,0.3271517076261052,2
diverse,954358,0.11908707206503205,0.016097507972705417,0.02836129818175795,0.02359200883445437,0.3582929498202258,3
diverse,954358,0.12637173675160404,0.01693526855610345,0.029867895085719437,0.025700230900511996,0.3859621697670732,4
diverse,954358,0.12977958418008637,0.01761282244011209,0.0310163165787158,0.028711976709165747,0.4053544835983883,5
diverse,954358,0.13284352040018935,0.017532645722402963,0.030976961838414765,0.03162333099086437,0.42011469191971956,6
diverse,954358,0.13431295919962644,0.01793731536795459,0.03164807306928714,0.0349362513803835,0.43540969039762273,7
diverse,954358,0.13340628419571865,0.017857175476619903,0.03149814808846944,0.03824917176990262,0.4556905786429357,8
diverse,954358,0.13196811005158848,0.01696908051795309,0.030071434498046237,0.04226483284810762,0.4885349217972158,9
diverse,954358,0.12981084883539343,0.016709920312848625,0.02960848420865238,0.04417227186025499,0.531260541536747,10
diverse,954358,0.1252774738158528,0.016004996430239206,0.028383783461877456,0.04427266338721012,0.5726286170326723,11
diverse,954358,0.12115053931530537,0.015024617012697274,0.02673381111764332,0.040758959943780745,0.6116107056762015,12
diverse,954358,0.11899327809911024,0.014623894700264716,0.026046729361255336,0.035839775122979624,0.6454999465210057,13
diverse,954358,0.11480381428794852,0.013715780185752246,0.024504028163295263,0.03122176488304387,0.6769867454316846,14
diverse,954358,0.11239643582929583,0.012089681588269383,0.021831143086816277,0.026402971589197872,0.7042774984985016,15
diverse,954358,0.10636235735501058,0.010746765067224611,0.019521131109995586,0.02188535287621725,0.7276519421110412,16
diverse,954358,0.0925433797092383,0.008596210027273305,0.01573117570847986,0.017066559582371247,0.7549591502595896,17
diverse,954358,0.07600437705174144,0.007207748781184585,0.013166841985489022,0.014657162935448248,0.7801107427001169,18
