algorithm,seed,year,count
ALS,54425,1946,19
ALS,54425,1947,0
ALS,54425,1948,4
ALS,54425,1949,3
ALS,54425,1950,23
ALS,54425,1951,19
ALS,54425,1952,6
ALS,54425,1953,13
ALS,54425,1954,49
ALS,54425,1955,10
ALS,54425,1956,0
ALS,54425,1957,26
ALS,54425,1958,30
ALS,54425,1959,36
ALS,54425,1960,56
ALS,54425,1961,11
ALS,54425,1962,41
ALS,54425,1963,25
ALS,54425,1964,136
ALS,54425,1965,17
ALS,54425,1966,20
ALS,54425,1967,48
ALS,54425,1968,135
ALS,54425,1969,11
ALS,54425,1970,7
ALS,54425,1971,174
ALS,54425,1972,23
ALS,54425,1973,39
ALS,54425,1974,159
ALS,54425,1975,320
ALS,54425,1976,132
ALS,54425,1977,96
ALS,54425,1978,39
ALS,54425,1979,249
ALS,54425,1980,268
ALS,54425,1981,208
ALS,54425,1982,281
ALS,54425,1983,219
ALS,54425,1984,293
ALS,54425,1985,226
ALS,54425,1986,231
ALS,54425,1987,247
ALS,54425,1988,288
ALS,54425,1989,337
ALS,54425,1990,424
ALS,54425,1991,350
ALS,54425,1992,375
ALS,54425,1993,642
ALS,54425,1994,1167
ALS,54425,1995,1059
ALS,54425,1996,562
ALS,54425,1997,1009
ALS,54425,1998,1078
ALS,54425,1999,2088
ALS,54425,2000,1404
ALS,54425,2001,1835
ALS,54425,2002,1314
ALS,54425,2003,1267
ALS,54425,2004,1567
ALS,54425,2005,779
ALS,54425,2006,1361
ALS,54425,2007,864
ALS,54425,2008,1470
ALS,54425,2009,1370
ALS,54425,2010,1170
ALS,54425,2011,433
ALS,54425,2012,1163
ALS,54425,2013,504
ALS,54425,2014,1298
ALS,54425,2015,561
ALS,54425,2016,35
ALS,54425,2017,0
ALS,54425,2018,0
ALS,54425,2019,0
ALS,954358,1902,0
ALS,954358,1903,0
ALS,954358,1915,0
ALS,954358,1916,0
ALS,954358,1917,0
ALS,954358,1918,0
ALS,954358,1919,0
ALS,954358,1920,0
ALS,954358,1921,0
ALS,954358,1922,2
ALS,954358,1923,0
