loss,precision,hr,F1 Score,diversity,curr_epoch
17.78633058828466,0.015992003998000923,0.00144017937419027,0.0026423946809359736,0.011039848596362107,0
9.664203679982354,0.05643011827419588,0.00877209797748867,0.01518385585151735,0.0024182525496793186,1
8.887949236701516,0.06575878727302988,0.010389695844716065,0.017944252358323007,0.004310798023341394,2
8.528655644865596,0.0992420456438455,0.018779629714987842,0.03158282347175391,0.00925244453790348,3
8.423480880681206,0.11294352823588305,0.019820867607250492,0.03372347994418982,0.013668383976448322,4
8.375725334391875,0.15675495585540528,0.02832059968265274,0.04797385954235258,0.019135737567027654,5
8.338830424477072,0.17299683491587442,0.03242370129757155,0.05461184946873344,0.0233413941751656,6
8.308025772150826,0.15646343494919152,0.028714304029459962,0.04852352842630474,0.029439596256965617,7
8.28158356217777,0.17391304347826034,0.03194872324671004,0.05398088031084627,0.033645252865103566,8
8.258612499798046,0.18832250541395856,0.035226750547077225,0.059351482894440144,0.03858689937966565,9
8.237133451489841,0.18065967016491655,0.033424882901910286,0.056412555075611964,0.044579960046262225,10
8.217434793360093,0.17736964850907813,0.034412616006434506,0.05764178241556272,0.04373882872463463,11
8.199107145000907,0.18973846410128184,0.03557150537502422,0.05991108881080695,0.05267584901692777,12
8.182667459039127,0.19469431950691274,0.03694235287278985,0.062101274203784584,0.05614551571864157,13
8.167433296512154,0.17703648175912018,0.03297916828942419,0.05560076998025669,0.05877405109872779,14
8.153954529902514,0.18499083791437526,0.03483594671726512,0.058630989700059075,0.061928293554831246,15
8.141660744021921,0.17732800266533338,0.032571740832784975,0.05503467178141092,0.06329513195247607,16
8.13038415964912,0.18603198400799514,0.0332388523621477,0.056400474896178686,0.06560824308695196,17
8.119448172204635,0.19486090288189203,0.03635506629999641,0.06127761044026765,0.06739564714541058,18
8.109893522122327,0.17333000166583296,0.03073518569731749,0.052212039269934986,0.07118073809273473,19
8.100408927412595,0.17849408629018781,0.031985148102804124,0.05424915005920838,0.06907790978866575,20
8.092285140822915,0.18707313010161525,0.034549541585904495,0.05832698287442444,0.072652717905583,21
8.084032027440912,0.178868898883891,0.03176761125665253,0.0539530173744102,0.07160130375354852,22
