loss,precision,hr,F1 Score,diversity,CC,curr_epoch
8.606211139559967,0.07312802876348119,0.006820534447240847,0.012477328402400902,0.006425057725127999,0.7968702434529383,0
7.325927541763243,0.051180240737844884,0.004899801303438324,0.008943395944424346,0.006927015359903624,0.8128399002822094,1
7.225519458361377,0.05286853212443232,0.004778743266020467,0.00876520668714412,0.008734062845095874,0.8295829459532759,2
7.173976072962294,0.05102391746130906,0.004274819771898626,0.007888717251660658,0.010139544222467625,0.8685485795150395,3
7.139793272191957,0.053400031264654244,0.00477120216584757,0.008759736722125351,0.009838369641602248,0.8369959602774215,4
7.11405371093325,0.059621697670781876,0.005620529760776157,0.010272657428754052,0.010039152695512499,0.8436520408414925,5
7.0931455275758335,0.056932937314364954,0.005079633088050233,0.009327090630343381,0.011243851018973999,0.8542984787276685,6
7.076036967161726,0.06609348131936703,0.005793036071114626,0.010652398676342902,0.011645417126794498,0.8404021621977161,7
7.060822408472877,0.06412380803501504,0.005364612086777015,0.009900911692390891,0.011143459492018873,0.8662695506939623,8
7.047665291420377,0.059590433015474724,0.00528157455535852,0.009703147059652034,0.012348157815480373,0.8690093218037779,9
7.035930847687832,0.058402376113802175,0.005274604148681566,0.009675377634834677,0.013352073085031623,0.8557300708390967,10
7.026079577138953,0.0622791933718918,0.005481389665250998,0.01007596191200809,0.013151290031121374,0.8609463317508689,11
7.01657496472517,0.0652180709707661,0.0060513660031436,0.011075109730629048,0.014255596827627748,0.8349473026007069,12
7.00828190774135,0.06193528216351282,0.005784184403057582,0.010580269197395254,0.014155205300672623,0.8568819265609383,13
7.001203352945514,0.0574019071439726,0.005183739700950295,0.009508779088271472,0.013552856138941874,0.8563965016495914,14
6.994552622751547,0.06509301234953754,0.00578274791630104,0.010621867902882309,0.014757554462403373,0.862081732390974,15
6.988900079844036,0.05668282007190757,0.00481658596231367,0.008878709342681498,0.013251681558076498,0.8453140040972905,16
6.983757591814168,0.06571830545568091,0.005685656855082896,0.01046585432590756,0.013552856138941874,0.8560180347695604,17
6.978774793981134,0.06055963732999716,0.005392744539392194,0.00990358935529185,0.014657162935448248,0.8606912779838922,18
6.974606191930477,0.05877755197748828,0.0056648658523101355,0.010333781949618046,0.013954422246762374,0.8371111458495931,19
